YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,FLT_DEP_IFR_2,FLT_ARR_IFR_2,FLT_TOT_IFR_2
2025,01,JAN,2025-01-01,LATI,Tirana,Albania,64,62,126,,,
2025,01,JAN,2025-01-01,UDYZ,Yerevan,Armenia,57,54,111,,,
2025,01,JAN,2025-01-01,LOWG,Graz,Austria,7,6,13,,,
2025,01,JAN,2025-01-01,LOWI,Innsbruck,Austria,24,25,49,,,
2025,01,JAN,2025-01-01,LOWK,Klagenfurt,Austria,2,0,2,,,
2025,01,JAN,2025-01-01,LOWL,Linz,Austria,2,2,4,,,
2025,01,JAN,2025-01-01,LOWS,Salzburg,Austria,17,19,36,,,
2025,01,JAN,2025-01-01,LOWW,Vienna,Austria,253,233,486,253,233,486
2025,01,JAN,2025-01-01,EBAW,Antwerp,Belgium,4,3,7,,,
2025,01,JAN,2025-01-01,EBBR,Brussels,Belgium,216,203,419,216,203,419
2025,01,JAN,2025-01-01,EBCI,Brussels - Charleroi,Belgium,94,93,187,94,93,187
2025,01,JAN,2025-01-01,EBLG,Liège,Belgium,17,14,31,,,
2025,01,JAN,2025-01-01,EBOS,Ostend-Bruges,Belgium,4,3,7,,,
2025,01,JAN,2025-01-01,LQSA,Sarajevo,Bosnia and Herzegovina,10,11,21,,,
2025,01,JAN,2025-01-01,LBSF,Sofia,Bulgaria,58,63,121,58,63,121
2025,01,JAN,2025-01-01,LDZA,Zagreb,Croatia,51,52,103,51,52,103
2025,01,JAN,2025-01-01,LCLK,Larnaca,Cyprus,62,66,128,,,
2025,01,JAN,2025-01-01,LCPH,Paphos,Cyprus,18,18,36,,,
2025,01,JAN,2025-01-01,LKMT,Ostrava,Czech Republic,2,2,4,,,
2025,01,JAN,2025-01-01,LKPR,Prague,Czech Republic,129,134,263,128,133,261
2025,01,JAN,2025-01-01,LKTB,Brno-Tuřany,Czech Republic,1,1,2,,,
2025,01,JAN,2025-01-01,EKCH,Copenhagen - Kastrup,Denmark,217,210,427,217,210,427
2025,01,JAN,2025-01-01,EETN,Tallinn,Estonia,32,37,69,32,38,70
2025,01,JAN,2025-01-01,EETU,Tartu,Estonia,1,1,2,,,
2025,01,JAN,2025-01-01,EFHK,Helsinki - Vantaa,Finland,161,164,325,161,164,325
2025,01,JAN,2025-01-01,LFBD,Bordeaux-Mérignac,France,51,46,97,,,
2025,01,JAN,2025-01-01,LFBE,Bergerac-Roumanière,France,2,3,5,,,
2025,01,JAN,2025-01-01,LFBH,La Rochelle-Ile de Ré,France,1,1,2,,,
2025,01,JAN,2025-01-01,LFBI,Poitiers-Biard,France,1,1,2,,,
2025,01,JAN,2025-01-01,LFBL,Limoges-Bellegarde,France,0,1,1,,,
2025,01,JAN,2025-01-01,LFBO,Toulouse-Blagnac,France,68,70,138,67,70,137
2025,01,JAN,2025-01-01,LFBP,Pau-Pyrénées,France,5,4,9,,,
2025,01,JAN,2025-01-01,LFBT,Tarbes-Lourdes Pyrénées,France,5,6,11,,,
