YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2022,01,JAN,LOWW,Vienna,Austria,5461,4623,0,4623,51457.75917,12710.94083,
2022,01,JAN,EBBR,Brussels,Belgium,5297,4116,75,4041,44966.55083,9424.84917,
2022,01,JAN,EBCI,Brussels - Charleroi,Belgium,1853,1189,30,1159,12624.89417,2424.5225,
2022,01,JAN,LBSF,Sofia,Bulgaria,1748,1329,41,1288,13723.27,3778.13,
2022,01,JAN,LDZA,Zagreb,Croatia,1384,1152,31,1121,12347.22083,3112.72917,
2022,01,JAN,LKPR,Prague,Czech Republic,2618,2110,47,2063,22615.77083,5437.49583,
2022,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,5796,4636,147,4489,51450.18,11141.50333,
2022,01,JAN,EETN,Tallinn,Estonia,1290,714,46,668,7045.74333,2271.34,
2022,01,JAN,EFHK,Helsinki - Vantaa,Finland,4834,3324,446,2878,30787.52083,9036.97917,
2022,01,JAN,LFBO,Toulouse-Blagnac,France,1893,1587,54,1533,17868.24417,2923.13917,
2022,01,JAN,LFLL,Lyon-Saint-Exupéry,France,2225,1788,14,1774,19871.84833,4105.835,
2022,01,JAN,LFML,Marseille-Provence,France,2291,1758,19,1739,15183.375,5484.14167,
2022,01,JAN,LFMN,Nice-Côte d’Azur,France,3190,2850,10,2840,31392.53417,9245.6825,
2022,01,JAN,LFPG,Paris - Charles-de-Gaulle,France,12597,10379,16,10363,134104.47167,25384.61167,
2022,01,JAN,LFPO,Paris - Orly,France,5583,4969,66,4903,60528.99,12655.79333,
2022,01,JAN,LFSB,Bâle-Mulhouse,France,2186,1271,24,1247,15117.08917,3100.96083,
2022,01,JAN,UGKO,Kutaisi,Georgia,,,,,,,NO DATA RECEIVED
2022,01,JAN,UGSB,Batumi,Georgia,,,,,,,NO DATA RECEIVED
2022,01,JAN,UGTB,Tbilisi,Georgia,,,,,,,NO DATA RECEIVED
2022,01,JAN,EDDB,Berlin - Brandenburg,Germany,4555,3897,54,3843,47839.97667,9595.90667,
2022,01,JAN,EDDC,Dresden,Germany,214,143,13,130,1528.1000000000001,353.66667,
2022,01,JAN,EDDE,Erfurt,Germany,136,41,41,0,,,NO REF FLIGHT
2022,01,JAN,EDDF,Frankfurt,Germany,12298,10868,167,10701,133121.06,33802.49,
2022,01,JAN,EDDG,Muenster-Osnabrueck,Germany,560,178,14,164,1828.065,682.36833,
2022,01,JAN,EDDH,Hamburg,Germany,2886,2492,119,2373,29112.93083,5147.9525,
2022,01,JAN,EDDK,Cologne-Bonn,Germany,3551,1724,62,1662,18415.67167,4408.61167,
