YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2023,01,JAN,LOWW,Vienna,Austria,7711,6587,135,6452,71301.72833,18804.255,
2023,01,JAN,EBBR,Brussels,Belgium,6572,5146,68,5078,56540.925,13883.625,
2023,01,JAN,EBCI,Brussels - Charleroi,Belgium,2373,1751,53,1698,18838.975,4021.50833,
2023,01,JAN,LBSF,Sofia,Bulgaria,2211,1705,38,1667,17749.65167,5452.04833,
2023,01,JAN,LDZA,Zagreb,Croatia,1623,1386,0,1386,15391.55083,4030.4325000000003,
2023,01,JAN,LKPR,Prague,Czech Republic,3198,2667,0,2667,29794.265,6509.55167,
2023,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,7700,6269,156,6113,70912.72583,16099.0075,
2023,01,JAN,EETN,Tallinn,Estonia,1319,685,0,685,7405.68667,1788.69667,
2023,01,JAN,EFHK,Helsinki - Vantaa,Finland,5750,3945,54,3891,41260.18,9860.42,
2023,01,JAN,LFBO,Toulouse-Blagnac,France,2662,2287,23,2264,27406.01667,4539.66667,
2023,01,JAN,LFLL,Lyon-Saint-Exupéry,France,3112,2637,0,2637,29136.8675,5263.8325,
2023,01,JAN,LFML,Marseille-Provence,France,3399,2796,45,2751,24472.52083,9577.6625,
2023,01,JAN,LFMN,Nice-Côte d’Azur,France,3757,3306,61,3245,36297.85667,10796.27667,
2023,01,JAN,LFPG,Paris - Charles-de-Gaulle,France,16797,13592,128,13464,178934.49583,36090.0875,
2023,01,JAN,LFPO,Paris - Orly,France,7436,6302,113,6189,78575.93417,19717.99917,
2023,01,JAN,LFSB,Bâle-Mulhouse,France,2347,1524,55,1469,17112.915,4656.85167,
2023,01,JAN,UGKO,Kutaisi,Georgia,,,,,,,NO DATA RECEIVED
2023,01,JAN,UGSB,Batumi,Georgia,,,,,,,NO DATA RECEIVED
2023,01,JAN,UGTB,Tbilisi,Georgia,,,,,,,NO DATA RECEIVED
2023,01,JAN,EDDB,Berlin - Brandenburg,Germany,5530,4757,62,4695,56814.69167,10358.40833,
2023,01,JAN,EDDC,Dresden,Germany,378,317,16,301,3468.90083,767.61583,
2023,01,JAN,EDDE,Erfurt,Germany,103,26,26,0,,,NO REF FLIGHT
2023,01,JAN,EDDF,Frankfurt,Germany,14831,13073,98,12975,167556.4375,45762.29583,
2023,01,JAN,EDDG,Muenster-Osnabrueck,Germany,597,231,23,208,2314.66,582.79,
2023,01,JAN,EDDH,Hamburg,Germany,3643,3114,61,3053,37341.5125,7455.12083,
2023,01,JAN,EDDK,Cologne-Bonn,Germany,3731,1879,96,1783,20199.28833,4442.895,
2023,01,JAN,EDDL,Dusseldorf,Germany,4384,3807,5,3802,44750.85417,8203.74583,
2023,01,JAN,EDDM,Munich,Germany,10167,9285,0,9285,106607.88583,24738.5475,
