YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2019,01,JAN,LOWW,Vienna,Austria,9638,8267,154,8113,90660.91417,29889.51917,
2019,01,JAN,EBBR,Brussels,Belgium,8605,6903,59,6844,73008.895,17600.57167,
2019,01,JAN,EBCI,Brussels - Charleroi,Belgium,2318,1594,135,1459,15479.76083,3025.68917,
2019,01,JAN,LBSF,Sofia,Bulgaria,2312,1812,23,1789,19017.877500000002,5079.95583,
2019,01,JAN,LDZA,Zagreb,Croatia,1518,1337,14,1323,14407.71667,3789.23333,
2019,01,JAN,LKPR,Prague,Czech Republic,4979,4249,0,4249,47801.14667,13482.48667,
2019,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,9686,7983,241,7742,87912.06083,20893.2225,
2019,01,JAN,EETN,Tallinn,Estonia,1790,1037,23,1014,10017.85,3583.98333,
2019,01,JAN,EFHK,Helsinki - Vantaa,Finland,8145,5529,111,5418,57247.7225,16116.01083,
2019,01,JAN,LFBO,Toulouse-Blagnac,France,,,,,,,NO DATA RECEIVED
2019,01,JAN,LFLL,Lyon-Saint-Exupéry,France,4397,3771,18,3753,42477.88833,9845.02833,
2019,01,JAN,LFML,Marseille-Provence,France,3930,3171,1175,1996,17244,6891.81667,
2019,01,JAN,LFMN,Nice-Côte d’Azur,France,4110,3654,135,3519,40183.35667,11091.12667,
2019,01,JAN,LFPG,Paris - Charles-de-Gaulle,France,19333,15524,37,15487,200757.82667,35661.69,
2019,01,JAN,LFPO,Paris - Orly,France,8751,7617,100,7517,94049.8,22062.28333,
2019,01,JAN,LFSB,Bâle-Mulhouse,France,2528,2032,9,2023,22470.1525,5297.8475,
2019,01,JAN,UGKO,Kutaisi,Georgia,,,,,,,NO DATA RECEIVED
2019,01,JAN,UGSB,Batumi,Georgia,,,,,,,NO DATA RECEIVED
2019,01,JAN,UGTB,Tbilisi,Georgia,,,,,,,NO DATA RECEIVED
2019,01,JAN,EDDB,Berlin - Brandenburg,Germany,3701,2825,0,2825,33401.03333,6373.2,
2019,01,JAN,EDDC,Dresden,Germany,752,616,79,537,6094.91667,1340.8500000000001,
2019,01,JAN,EDDE,Erfurt,Germany,236,44,33,11,109.26667,24.8,
2019,01,JAN,EDDF,Frankfurt,Germany,18794,16854,34,16820,210506.36833,62336.965,
2019,01,JAN,EDDG,Muenster-Osnabrueck,Germany,937,345,18,327,3613.32083,992.12917,
2019,01,JAN,EDDH,Hamburg,Germany,5557,4898,96,4802,59124.340000000004,16566.61,
2019,01,JAN,EDDK,Cologne-Bonn,Germany,4889,3244,50,3194,34953.61417,9615.73583,
2019,01,JAN,EDDL,Dusseldorf,Germany,8450,7378,5,7373,83949.68917,20018.0275,
2019,01,JAN,EDDM,Munich,Germany,15706,13910,0,13910,163609.50083,59231.04917,
2019,01,JAN,EDDN,Nuremberg,Germany,2121,1359,0,1359,15838.10083,3967.81583,
2019,01,JAN,EDDP,Leipzig-Halle,Germany,3010,1170,48,1122,13003.475,2841.425,
2019,01,JAN,EDDR,Saarbruecken,Germany,309,195,19,176,1757.05833,546.20833,
2019,01,JAN,EDDS,Stuttgart,Germany,4659,3551,0,3551,39353.59333,9418.30667,
2019,01,JAN,EDDT,Berlin - Tegel,Germany,7494,6655,27,6628,78857.09917,15481.0175,
2019,01,JAN,EDDV,Hanover,Germany,2356,1643,21,1622,17577.48,4393.87,
2019,01,JAN,EDDW,Bremen,Germany,1285,808,43,765,8762.90917,2094.37417,
2019,01,JAN,LGAV,Athens,Greece,6702,5547,85,5462,61443.03833,16360.61167,
2019,01,JAN,LHBP,Budapest - Ferihegy,Hungary,4258,3435,51,3384,42042.81667,10083.16667,
2019,01,JAN,BIKF,Keflavik,Iceland,,,,,,,NO DATA RECEIVED
2019,01,JAN,EICK,Cork,Ireland,1663,633,65,568,5707.14583,1189.2875000000001,
2019,01,JAN,EIDW,Dublin,Ireland,8579,7051,0,7051,74975.2125,22884.4375,
2019,01,JAN,LLBG,Tel Aviv - Ben Gurion International,Israel,,,,,,,NO DATA RECEIVED
2019,01,JAN,LICC,Catania,Italy,2433,2100,11,2089,21756.78333,6797.81667,
2019,01,JAN,LIMC,Milan - Malpensa,Italy,7413,6119,0,6119,62373.46333,21852.40333,
2019,01,JAN,LIME,Bergamo,Italy,3478,2685,18,2667,32263.83333,7612.28333,
2019,01,JAN,LIMF,Torino Caselle,Italy,,,,,,,NO PREVIOUS RSLT
2019,01,JAN,LIML,Milan - Linate,Italy,4550,3923,1,3922,38419.86667,11345.56667,
2019,01,JAN,LIPE,Bologna,Italy,2697,2180,87,2093,24250.41083,6128.8225,
2019,01,JAN,LIPZ,Venice,Italy,2925,2469,23,2446,24224.58333,6055.53333,
2019,01,JAN,LIRA,Rome - Ciampino,Italy,,,,,,,DATA ISSUE
